label,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z,p4_x,p4_y,p4_z,p5_x,p5_y,p5_z,p6_x,p6_y,p6_z,p7_x,p7_y,p7_z,p8_x,p8_y,p8_z,p9_x,p9_y,p9_z,p10_x,p10_y,p10_z,p11_x,p11_y,p11_z,p12_x,p12_y,p12_z,p13_x,p13_y,p13_z,p14_x,p14_y,p14_z,p15_x,p15_y,p15_z,p16_x,p16_y,p16_z,p17_x,p17_y,p17_z,p18_x,p18_y,p18_z,p19_x,p19_y,p19_z,p20_x,p20_y,p20_z,hand_type
A,0.0,0.0,0.0,-0.1440959088624759,-0.0365652166203771,-0.055704369795664,-0.2645723284937561,-0.1035560234861943,-0.1211472699374278,-0.3794638766405661,-0.1498931842645523,-0.185031576511794,-0.4809935692327035,-0.148789006280733,-0.2496406820061118,-0.2400628011302913,-0.3968135444510065,-0.1344947575388296,-0.2900325276822566,-0.6219707487690679,-0.2003931814720021,-0.3242454298129048,-0.7693476967814421,-0.2421529169305484,-0.3493192597035298,-0.8922466122319114,-0.2706936703977975,-0.1228338179275602,-0.4345312972150784,-0.154147033230435,-0.1202097057802756,-0.7005455668400906,-0.2090051807682049,-0.1189496657273197,-0.8681027469542729,-0.2408881185586561,-0.1208573331367594,-1.0,-0.2621965837289394,-0.0034811675346129,-0.397646544753679,-0.173269012100895,0.0400091855704706,-0.5328389724114218,-0.2315154702066712,0.037911185403573,-0.4646371036289327,-0.2340783441841906,0.024009206401678,-0.3880003318113739,-0.2254999941075677,0.1075623110389403,-0.3180030113494121,-0.1959045367739101,0.1497686930016939,-0.3755846842515948,-0.2432925420655328,0.1497218227851993,-0.3280331136839581,-0.2325380902939316,0.1374909281952003,-0.2740102293627522,-0.2134895786278975,1.0
A,0.0,0.0,0.0,-0.1313464643567227,-0.052769788880775,-0.0588827597037851,-0.2471501801865676,-0.1410849008107106,-0.1091566468557312,-0.3544800466725139,-0.183946377955467,-0.1565163998743466,-0.4487490712944724,-0.1824642881008003,-0.2063799238003084,-0.2092703916620988,-0.4115737373293854,-0.1033873430672605,-0.2648073721073664,-0.6359172011559677,-0.163944949382974,-0.298537453000872,-0.7877655485969873,-0.2051166113546765,-0.3235855393426234,-0.9117309559431576,-0.232888505681214,-0.0932423348877641,-0.4413696938417931,-0.1200496068929311,-0.0981694378771732,-0.6930747150120202,-0.1690839315972959,-0.1003154329654261,-0.8652182399505154,-0.2024133629577846,-0.1017253018315458,-1.0,-0.2244565703038828,0.018375082943166,-0.3945864490631486,-0.1411494800623179,0.0475516425056268,-0.563426043728249,-0.2037967038071394,0.0632916191141843,-0.6031661825341097,-0.2280062108964932,0.0720180019811584,-0.616055589526613,-0.2361754454271953,0.1170270338036215,-0.3051295976847055,-0.1649245965006667,0.1563249690151564,-0.3796424629180615,-0.2191665028612364,0.1685537099214002,-0.3712665078044855,-0.2220830551080229,0.1718990292995272,-0.3472106802605282,-0.2160020658676306,1.0
A,0.0,0.0,0.0,-0.1544724460949597,-0.0264197461986478,-0.0868268543722426,-0.2647169113653886,-0.1369640581626615,-0.1418423200397368,-0.3416406457268582,-0.2476542575322237,-0.1892970952407772,-0.4188477269044746,-0.3124540243972648,-0.2379174710462591,-0.1745866276209135,-0.4698841031990176,-0.1009173861727888,-0.2223524670581134,-0.6926793367524087,-0.1537088182256406,-0.2511022571001406,-0.836553401141103,-0.1905538903117059,-0.2694297036966254,-0.9506849526459452,-0.2153226249432274,-0.0517554860608679,-0.4693914809589634,-0.1007968124281297,-0.04260648207775,-0.7156085872959252,-0.1334302462840977,-0.0430536406267341,-0.8705232063653916,-0.1580187286574211,-0.043385537441961,-1.0,-0.1752422414575868,0.057479281673681,-0.407330812452778,-0.1096504062854271,0.0898722209131791,-0.570087740175599,-0.1503907255165091,0.1086165564993195,-0.6701437091843184,-0.1701341791307835,0.127577289758621,-0.7497879053524297,-0.1821712403482964,0.1488957249292375,-0.2976777312787227,-0.1258435521888578,0.1978487246128909,-0.3780466163084076,-0.1676757122305467,0.2285980861329213,-0.4285929818542894,-0.1721976134437625,0.2542385395590497,-0.4702660931673295,-0.1703959514668991,1.0
A,0.0,0.0,0.0,-0.1421141066336644,-0.0474558079136493,-0.0808657878461185,-0.2378275112236099,-0.1862356424505828,-0.128216823059145,-0.3019350790664588,-0.302719330490909,-0.1667327865645173,-0.3735012883066187,-0.3941512174752583,-0.2040257069932582,-0.1547649463684127,-0.5051342563475135,-0.0666396824980671,-0.1980799938745401,-0.7183948223358748,-0.1088278414019399,-0.2298723224467727,-0.8525562619014624,-0.1477576875215402,-0.2505815117712792,-0.9650774284943692,-0.1757343841816401,-0.0518514901522114,-0.5210193021904594,-0.0594945317669377,-0.0506050782858753,-0.7517781198895996,-0.0824435393484551,-0.0516602987789313,-0.8924538209217694,-0.1085176640604788,-0.0488594827081272,-1.0,-0.128680831798929,0.0439461624349528,-0.4856781270306203,-0.0619669919849761,0.0459198580323817,-0.6879939038836951,-0.080535895327077,0.0330194837534901,-0.8108282861905611,-0.0920600040663682,0.0254800330527244,-0.9162792691583672,-0.1036683894586595,0.132791922462499,-0.407166558748994,-0.0730531329258005,0.1593488397789928,-0.5498681089006805,-0.0902408419339058,0.1684042959371947,-0.6443467931830876,-0.0882985029252376,0.177570363411473,-0.7322165372972761,-0.0864589665322234,1.0
A,0.0,0.0,0.0,-0.1430654633879163,-0.0680518354953214,-0.0684657934891671,-0.2389082066629116,-0.2149874644183046,-0.1027755835465502,-0.3022866151018133,-0.3421259835924621,-0.1312180004799454,-0.3648752787169027,-0.4479934953492452,-0.1566557609688016,-0.1461269376171483,-0.5399427365686338,-0.0384634796211683,-0.1913665155935034,-0.7580690785268718,-0.0749640035953708,-0.2233515275398957,-0.8916450115501335,-0.1099187394100733,-0.2491138909425476,-1.0,-0.1349874839474358,-0.0320277570582721,-0.5479420799112935,-0.0369001926814925,-0.0221800919724622,-0.7713208719009288,-0.0492232004805692,-0.0191723379514035,-0.8939248278686115,-0.0673602835922585,-0.0199081315123838,-0.9871738670711356,-0.0829206018261507,0.0730574036237804,-0.4951505959390642,-0.0466594721398495,0.1166836424449949,-0.6624276993870293,-0.0621261951857784,0.1398704395658922,-0.7539216474012329,-0.0683862457024137,0.1576743563004937,-0.8291257798600167,-0.0751639236389062,0.1643490632841959,-0.3967444167519017,-0.0648585970376584,0.2193697626046237,-0.5036210597310373,-0.0811785146828463,0.2510443526169048,-0.5687015323140626,-0.0763877985052483,0.2782244674060146,-0.6260107125026737,-0.0712829057553333,1.0
A,0.0,0.0,0.0,-0.1215045947304185,-0.0442629300217336,-0.085745077309045,-0.1998772998126864,-0.1845452832220547,-0.1289481541243388,-0.2289011153969155,-0.3295218975779766,-0.1608523953574757,-0.2859741407723585,-0.4541201034140674,-0.1890210471320598,-0.1349576627245968,-0.48519663847173,-0.068802792848159,-0.1676058860193579,-0.6808107390401974,-0.1104362146169996,-0.188174177974011,-0.8050574259719747,-0.1484194791762254,-0.2014907991176029,-0.917419826767568,-0.1766783561758142,-0.0383339166487185,-0.5132237189904646,-0.0559323710071177,-0.0239876214764487,-0.7354489325736364,-0.080272830731026,-0.0178367035093558,-0.8808723134859254,-0.106814942736554,-0.0115256797459845,-1.0,-0.1283953047306605,0.0454085532799456,-0.4849312911584073,-0.0528441838677127,0.0542561831430827,-0.6732383467455081,-0.0751103557258863,0.0481852160959149,-0.7975257229847473,-0.0925761007338487,0.0433421687258107,-0.9061828983350628,-0.1082238100074212,0.125955229932319,-0.4183543041332994,-0.0587069050278658,0.151638239219679,-0.5519417875720374,-0.079538160555085,0.1599001062205079,-0.6402718494442595,-0.0850328742084178,0.1644348734491153,-0.7228654328118576,-0.0892613562443435,1.0
A,0.0,0.0,0.0,-0.1222377723479313,-0.0523330060897079,-0.0857280605026705,-0.2093076804096587,-0.1946664427165083,-0.1304437027125271,-0.2511985142749622,-0.3386876910508347,-0.1645686307570223,-0.3169909603156421,-0.4597726870457767,-0.196367396125469,-0.1490073993911886,-0.5044540391023354,-0.0706665176171897,-0.1766812606338675,-0.70940404630453,-0.1162015755616355,-0.1948767149063103,-0.8345861608369641,-0.1563921201166435,-0.2050617342352997,-0.9471879283777628,-0.1864961240584498,-0.0417487034720956,-0.5203083283414064,-0.0649303682877911,-0.0167233363329189,-0.7470740220828321,-0.0937040524787348,-0.0046036640301142,-0.8827806955672219,-0.125100577938094,0.0082931011480457,-1.0,-0.1522153256407002,0.0487493428994068,-0.4818340454912933,-0.0699597856647996,0.0933988033194941,-0.6749730914317272,-0.1013548095596083,0.1172258953709821,-0.7965323160610002,-0.1219800876148138,0.1384597721555185,-0.9055460087351191,-0.1402069418609991,0.1282121389135901,-0.4042458398689041,-0.0835049144565159,0.1787085056589051,-0.5432805119245486,-0.1131858758405279,0.2156213739873741,-0.63610080095845,-0.1208669764846858,0.2458365734350109,-0.7241447859034714,-0.1271406593468113,1.0
A,0.0,0.0,0.0,-0.1357070452710767,-0.0432708319918054,-0.0924870234214537,-0.2304242113841455,-0.1813515820931929,-0.1384069044067827,-0.2718599397943592,-0.3274560195619291,-0.1713426452905407,-0.3301977472565665,-0.4607359476460823,-0.2014995710074923,-0.1647909796444549,-0.4949434170176672,-0.0791154305114589,-0.1926546389004858,-0.7021218458457553,-0.1242529497388412,-0.2114116512712567,-0.829524602307158,-0.1639851997786073,-0.2235952123764852,-0.9431064583961452,-0.192980126884067,-0.0518713941328711,-0.5138173821932371,-0.0681141775066141,-0.0255426205019013,-0.7414565816177057,-0.0942345056845,-0.0155715676537327,-0.8810183785415804,-0.1236162392662239,-0.0044380231159297,-1.0,-0.1493615681903903,0.0429301016689815,-0.4742752870727598,-0.0679756158853859,0.0946401926171116,-0.6658122111095143,-0.0979540139987037,0.122071542280198,-0.7879567822605303,-0.1181052781124659,0.145797929434281,-0.8963170207802852,-0.1359239094725342,0.1229060970258379,-0.3935370195606498,-0.0765562216881214,0.1832121658209532,-0.5259913482643436,-0.1080776078997589,0.2273311988291499,-0.6124225627440604,-0.1155046373987318,0.2640117349399543,-0.692967223789885,-0.1204129637774422,1.0
A,0.0,0.0,0.0,-0.1193988599872532,-0.0435445282038452,-0.0738172568941658,-0.1944944873066746,-0.1712836644067523,-0.1122067614857923,-0.2143852940656307,-0.3096509467919222,-0.1422603035618382,-0.2539294450455894,-0.4437535317231657,-0.1713331851525068,-0.1270469171955562,-0.4772326077313971,-0.0646522088257381,-0.1409347763988183,-0.6796351144358118,-0.1041122331527261,-0.1521108194996371,-0.8073786086793217,-0.1377750183085709,-0.1564738262415766,-0.9147170473727628,-0.163008884196155,-0.0239044608042135,-0.505818110891762,-0.0642012213013387,0.0193111873588039,-0.7386096401175678,-0.0853053496377292,0.0368741923372572,-0.883705027744756,-0.1110556306680045,0.049110455501897,-1.0,-0.1319810413335183,0.0585033505477626,-0.4727783861861464,-0.0733695125627731,0.0868727759740613,-0.6728534965091841,-0.1015140871645483,0.0909710570868353,-0.807057735271229,-0.131038361678742,0.0921657683106496,-0.916551529092024,-0.1564961472397326,0.1261537215715763,-0.3899362910206272,-0.0894698184921559,0.1490997174925517,-0.4749446364150069,-0.1262271988719226,0.1483535804014657,-0.514047510446502,-0.1413346633390693,0.1416726028078247,-0.5381211240359672,-0.1515035683241053,1.0
A,0.0,0.0,0.0,-0.1168690352740583,-0.0694055557154234,-0.0712568040935982,-0.1847178801985849,-0.2111584665130692,-0.1049089587287334,-0.1857205969637566,-0.355631144318549,-0.1327834393334563,-0.1954423019155647,-0.4964932343790143,-0.1540230987844681,-0.1022786627213569,-0.5334020512270574,-0.0225881665964629,-0.107647291298381,-0.7408534571939209,-0.0452671983651013,-0.1177121371685895,-0.869964394083526,-0.0658358309997797,-0.1220195649325094,-0.9648209653200982,-0.0797402775367684,-0.0128523094574191,-0.5345949187817017,-0.0162795411905164,0.0391141312572496,-0.7593763385342386,-0.0166872781927214,0.0583355088019009,-0.8904127980072777,-0.0223617333775858,0.0703634519624451,-1.0,-0.0267957833104378,0.0593513715389088,-0.4875452785569325,-0.0233799655595666,0.0827380554354246,-0.6690256267781998,-0.03343718553691,0.087690877958387,-0.7877926505529486,-0.0420997437337133,0.0903445010606832,-0.8795037116150561,-0.0496794057352506,0.11778211100293,-0.4060152033681843,-0.0398941026160531,0.0935349352648872,-0.5081735856228199,-0.0594268462559388,0.0577496332066834,-0.5660657542879158,-0.062906194244719,0.0244945684363767,-0.605381526121046,-0.0627167486279483,1.0
